candidate,office,district,party,county,precinct,votes
,Registered Voters,,,Putnam,Precinct 1,936
,Ballots Cast,,,Putnam,Precinct 1,20
,Straight Party,,Republican,Putnam,Precinct 1,32
,Straight Party,,Democratic,Putnam,Precinct 1,24
,Straight Party,,Mountain,Putnam,Precinct 1,0
Bill Maloney,Governor,,REP,Putnam,Precinct 1,146
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 1,90
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 1,6
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 1,3
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 1,2
,Write-in,,,Putnam,Precinct 1,1
,Registered Voters,,,Putnam,Precinct 2,373
,Ballots Cast,,,Putnam,Precinct 2,96
,Straight Party,,Republican,Putnam,Precinct 2,9
,Straight Party,,Democratic,Putnam,Precinct 2,12
,Straight Party,,Mountain,Putnam,Precinct 2,0
Bill Maloney,Governor,,REP,Putnam,Precinct 2,48
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 2,43
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 2,0
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 2,4
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 2,1
,Write-in,,,Putnam,Precinct 2,0
,Registered Voters,,,Putnam,Precinct 4,645
,Ballots Cast,,,Putnam,Precinct 4,185
,Straight Party,,Republican,Putnam,Precinct 4,10
,Straight Party,,Democratic,Putnam,Precinct 4,24
,Straight Party,,Mountain,Putnam,Precinct 4,0
Bill Maloney,Governor,,REP,Putnam,Precinct 4,98
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 4,83
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 4,0
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 4,2
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 4,0
,Write-in,,,Putnam,Precinct 4,0
,Registered Voters,,,Putnam,Precinct 6-1,1198
,Ballots Cast,,,Putnam,Precinct 6-1,348
,Straight Party,,Republican,Putnam,Precinct 6-1,30
,Straight Party,,Democratic,Putnam,Precinct 6-1,25
,Straight Party,,Mountain,Putnam,Precinct 6-1,2
Bill Maloney,Governor,,REP,Putnam,Precinct 6-1,220
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 6-1,119
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 6-1,5
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 6-1,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 6-1,0
,Write-in,,,Putnam,Precinct 6-1,0
,Registered Voters,,,Putnam,Precinct 6-2,1157
,Ballots Cast,,,Putnam,Precinct 6-2,314
,Straight Party,,Republican,Putnam,Precinct 6-2,22
,Straight Party,,Democratic,Putnam,Precinct 6-2,16
,Straight Party,,Mountain,Putnam,Precinct 6-2,0
Bill Maloney,Governor,,REP,Putnam,Precinct 6-2,193
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 6-2,116
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 6-2,3
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 6-2,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 6-2,0
,Write-in,,,Putnam,Precinct 6-2,0
,Registered Voters,,,Putnam,Precinct 7,692
,Ballots Cast,,,Putnam,Precinct 7,181
,Straight Party,,Republican,Putnam,Precinct 7,11
,Straight Party,,Democratic,Putnam,Precinct 7,15
,Straight Party,,Mountain,Putnam,Precinct 7,0
Bill Maloney,Governor,,REP,Putnam,Precinct 7,95
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 7,82
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 7,1
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 7,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 7,0
,Write-in,,,Putnam,Precinct 7,0
,Registered Voters,,,Putnam,Precinct 8-1,588
,Ballots Cast,,,Putnam,Precinct 8-1,186
,Straight Party,,Republican,Putnam,Precinct 8-1,22
,Straight Party,,Democratic,Putnam,Precinct 8-1,10
,Straight Party,,Mountain,Putnam,Precinct 8-1,0
Bill Maloney,Governor,,REP,Putnam,Precinct 8-1,107
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 8-1,68
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 8-1,5
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 8-1,2
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 8-1,1
,Write-in,,,Putnam,Precinct 8-1,0
,Registered Voters,,,Putnam,Precinct 8-2,677
,Ballots Cast,,,Putnam,Precinct 8-2,226
,Straight Party,,Republican,Putnam,Precinct 8-2,17
,Straight Party,,Democratic,Putnam,Precinct 8-2,13
,Straight Party,,Mountain,Putnam,Precinct 8-2,0
Bill Maloney,Governor,,REP,Putnam,Precinct 8-2,138
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 8-2,81
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 8-2,2
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 8-2,3
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 8-2,0
,Write-in,,,Putnam,Precinct 8-2,0
,Registered Voters,,,Putnam,Precinct 9,800
,Ballots Cast,,,Putnam,Precinct 9,216
,Straight Party,,Republican,Putnam,Precinct 9,21
,Straight Party,,Democratic,Putnam,Precinct 9,25
,Straight Party,,Mountain,Putnam,Precinct 9,1
Bill Maloney,Governor,,REP,Putnam,Precinct 9,111
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 9,100
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 9,3
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 9,2
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 9,0
,Write-in,,,Putnam,Precinct 9,0
,Registered Voters,,,Putnam,Precinct 10,844
,Ballots Cast,,,Putnam,Precinct 10,267
,Straight Party,,Republican,Putnam,Precinct 10,31
,Straight Party,,Democratic,Putnam,Precinct 10,33
,Straight Party,,Mountain,Putnam,Precinct 10,1
Bill Maloney,Governor,,REP,Putnam,Precinct 10,149
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 10,113
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 10,2
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 10,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 10,0
,Write-in,,,Putnam,Precinct 10,0
,Registered Voters,,,Putnam,Precinct 13,732
,Ballots Cast,,,Putnam,Precinct 13,194
,Straight Party,,Republican,Putnam,Precinct 13,31
,Straight Party,,Democratic,Putnam,Precinct 13,23
,Straight Party,,Mountain,Putnam,Precinct 13,1
Bill Maloney,Governor,,REP,Putnam,Precinct 13,106
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 13,81
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 13,2
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 13,2
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 13,1
,Write-in,,,Putnam,Precinct 13,0
,Registered Voters,,,Putnam,Precinct 15,517
,Ballots Cast,,,Putnam,Precinct 15,134
,Straight Party,,Republican,Putnam,Precinct 15,5
,Straight Party,,Democratic,Putnam,Precinct 15,23
,Straight Party,,Mountain,Putnam,Precinct 15,1
Bill Maloney,Governor,,REP,Putnam,Precinct 15,49
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 15,78
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 15,4
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 15,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 15,0
,Write-in,,,Putnam,Precinct 15,1
,Registered Voters,,,Putnam,Precinct 16-1,772
,Ballots Cast,,,Putnam,Precinct 16-1,233
,Straight Party,,Republican,Putnam,Precinct 16-1,18
,Straight Party,,Democratic,Putnam,Precinct 16-1,28
,Straight Party,,Mountain,Putnam,Precinct 16-1,0
Bill Maloney,Governor,,REP,Putnam,Precinct 16-1,128
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 16-1,99
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 16-1,1
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 16-1,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 16-1,0
,Write-in,,,Putnam,Precinct 16-1,2
,Registered Voters,,,Putnam,Precinct 16-2,805
,Ballots Cast,,,Putnam,Precinct 16-2,249
,Straight Party,,Republican,Putnam,Precinct 16-2,16
,Straight Party,,Democratic,Putnam,Precinct 16-2,20
,Straight Party,,Mountain,Putnam,Precinct 16-2,3
Bill Maloney,Governor,,REP,Putnam,Precinct 16-2,129
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 16-2,109
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 16-2,7
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 16-2,2
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 16-2,1
,Write-in,,,Putnam,Precinct 16-2,1
,Registered Voters,,,Putnam,Precinct 17,401
,Ballots Cast,,,Putnam,Precinct 17,124
,Straight Party,,Republican,Putnam,Precinct 17,7
,Straight Party,,Democratic,Putnam,Precinct 17,4
,Straight Party,,Mountain,Putnam,Precinct 17,0
Bill Maloney,Governor,,REP,Putnam,Precinct 17,72
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 17,50
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 17,2
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 17,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 17,0
,Write-in,,,Putnam,Precinct 17,0
,Registered Voters,,,Putnam,Precinct 18,622
,Ballots Cast,,,Putnam,Precinct 18,198
,Straight Party,,Republican,Putnam,Precinct 18,5
,Straight Party,,Democratic,Putnam,Precinct 18,17
,Straight Party,,Mountain,Putnam,Precinct 18,0
Bill Maloney,Governor,,REP,Putnam,Precinct 18,80
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 18,114
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 18,2
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 18,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 18,0
,Write-in,,,Putnam,Precinct 18,1
,Registered Voters,,,Putnam,Precinct 19,363
,Ballots Cast,,,Putnam,Precinct 19,103
,Straight Party,,Republican,Putnam,Precinct 19,5
,Straight Party,,Democratic,Putnam,Precinct 19,26
,Straight Party,,Mountain,Putnam,Precinct 19,2
Bill Maloney,Governor,,REP,Putnam,Precinct 19,32
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 19,62
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 19,7
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 19,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 19,0
,Write-in,,,Putnam,Precinct 19,0
,Registered Voters,,,Putnam,Precinct 21,351
,Ballots Cast,,,Putnam,Precinct 21,135
,Straight Party,,Republican,Putnam,Precinct 21,12
,Straight Party,,Democratic,Putnam,Precinct 21,10
,Straight Party,,Mountain,Putnam,Precinct 21,3
Bill Maloney,Governor,,REP,Putnam,Precinct 21,71
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 21,52
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 21,8
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 21,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 21,0
,Write-in,,,Putnam,Precinct 21,2
,Registered Voters,,,Putnam,Precinct 22,565
,Ballots Cast,,,Putnam,Precinct 22,171
,Straight Party,,Republican,Putnam,Precinct 22,19
,Straight Party,,Democratic,Putnam,Precinct 22,29
,Straight Party,,Mountain,Putnam,Precinct 22,1
Bill Maloney,Governor,,REP,Putnam,Precinct 22,76
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 22,90
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 22,1
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 22,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 22,0
,Write-in,,,Putnam,Precinct 22,0
,Registered Voters,,,Putnam,Precinct 23,1002
,Ballots Cast,,,Putnam,Precinct 23,249
,Straight Party,,Republican,Putnam,Precinct 23,19
,Straight Party,,Democratic,Putnam,Precinct 23,36
,Straight Party,,Mountain,Putnam,Precinct 23,1
Bill Maloney,Governor,,REP,Putnam,Precinct 23,120
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 23,122
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 23,4
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 23,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 23,2
,Write-in,,,Putnam,Precinct 23,0
,Registered Voters,,,Putnam,Precinct 24,484
,Ballots Cast,,,Putnam,Precinct 24,167
,Straight Party,,Republican,Putnam,Precinct 24,19
,Straight Party,,Democratic,Putnam,Precinct 24,10
,Straight Party,,Mountain,Putnam,Precinct 24,0
Bill Maloney,Governor,,REP,Putnam,Precinct 24,112
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 24,47
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 24,1
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 24,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 24,0
,Write-in,,,Putnam,Precinct 24,2
,Registered Voters,,,Putnam,Precinct 25-1,986
