candidate,office,district,party,county,precinct,votes
,Registered Voters,,,Monongalia,Precinct 1,848
,Ballots Cast,,,Monongalia,Precinct 1,539
,Straight Party,,REP,Monongalia,Precinct 1,38
,Straight Party,,DEM,Monongalia,Precinct 1,79
,Straight Party,,MTN,Monongalia,Precinct 1,1
,Straight Party,,LIBER,Monongalia,Precinct 1,1
Mitt Romney ,President ,,,Monongalia,Precinct 1,216
Barack Obama,President ,,,Monongalia,Precinct 1,296
Jill Stein,President ,,,Monongalia,Precinct 1,6
Gary Johnson,President ,,,Monongalia,Precinct 1,9
Randall Terry,President ,,,Monongalia,Precinct 1,3
John R. Raese,U.S. Senate,,,Monongalia,Precinct 1,178
Joe Manchin III,U.S. Senate,,,Monongalia,Precinct 1,307
Bob Henry Baber,U.S. Senate,,,Monongalia,Precinct 1,36
David B McKinley ,U.S. House,1,,Monongalia,Precinct 1,198
Sue Thorn,U.S. House,1,,Monongalia,Precinct 1,306
Bill Maloney,Governor,,,Monongalia,Precinct 1,209
Earl Ray Tomblin,Governor,,,Monongalia,Precinct 1,268
Jesse Johnson,Governor,,,Monongalia,Precinct 1,35
David Moran ,Governor,,,Monongalia,Precinct 1,13
Brian Savilla,Secretary of State,,,Monongalia,Precinct 1,103
Natalie E. Tennant,Secretary of State,,,Monongalia,Precinct 1,405
Larry V. Faircloth,Auditor,,,Monongalia,Precinct 1,135
Glen B. Gainer III,Auditor,,,Monongalia,Precinct 1,347
Mike Hall,Treasurer,,,Monongalia,Precinct 1,141
John D. Perdue,Treasurer,,,Monongalia,Precinct 1,348
Kent Leonhardt ,Commissioner of Agriculture,,,Monongalia,Precinct 1,203
Walt Helmick,Commissioner of Agriculture,,,Monongalia,Precinct 1,274
Patrick Morrisey,Attorney General,,,Monongalia,Precinct 1,187
"Darrell V. McGraw, Jr. ",Attorney General,,,Monongalia,Precinct 1,317
Jeffrey V. Kessler,State Senate,2,,Monongalia,Precinct 1,
Casey Mayer,State Senate,13,,Monongalia,Precinct 1,160
"Roman W. Prezioso, Jr. ",State Senate,13,,Monongalia,Precinct 1,336
Bob Williams,State Senate,14,,Monongalia,Precinct 1,
Dave Pethtel,House of Delegates,5,,Monongalia,Precinct 1,
Raymond V. Davis III,House of Delegates,5,,Monongalia,Precinct 1,
Denzil W. Sloan ,House of Delegates,5,,Monongalia,Precinct 1,
Jeff Tansill,House of Delegates,49,,Monongalia,Precinct 1,
Mike Manypenny,House of Delegates,49,,Monongalia,Precinct 1,
Amanda Pasdon,House of Delegates,51,,Monongalia,Precinct 1,188
Jay Redmond,House of Delegates,51,,Monongalia,Precinct 1,143
Cindy Frich ,House of Delegates,51,,Monongalia,Precinct 1,223
John P. Woods,House of Delegates,51,,Monongalia,Precinct 1,125
Kevin Scott Poe,House of Delegates,51,,Monongalia,Precinct 1,140
Billy Smerka Jr. ,House of Delegates,51,,Monongalia,Precinct 1,212
Nancy Jamison,House of Delegates,51,,Monongalia,Precinct 1,243
Charlene Marshall ,House of Delegates,51,,Monongalia,Precinct 1,338
Barbara Evans Fleischauer,House of Delegates,51,,Monongalia,Precinct 1,317
"Anthony P. ""Tony"" Barill ",House of Delegates,51,,Monongalia,Precinct 1,290
Harry V. Bertram,House of Delegates,51,,Monongalia,Precinct 1,28
,Registered Voters,,,Monongalia,Precinct 2,1250
,Ballots Cast,,,Monongalia,Precinct 2,806
,Straight Party,,REP,Monongalia,Precinct 2,60
,Straight Party,,DEM,Monongalia,Precinct 2,107
,Straight Party,,MTN,Monongalia,Precinct 2,1
,Straight Party,,LIBER,Monongalia,Precinct 2,1
Mitt Romney ,President ,,,Monongalia,Precinct 2,270
Barack Obama,President ,,,Monongalia,Precinct 2,503
Jill Stein,President ,,,Monongalia,Precinct 2,11
Gary Johnson,President ,,,Monongalia,Precinct 2,15
Randall Terry,President ,,,Monongalia,Precinct 2,0
John R. Raese,U.S. Senate,,,Monongalia,Precinct 2,238
Joe Manchin III,U.S. Senate,,,Monongalia,Precinct 2,473
Bob Henry Baber,U.S. Senate,,,Monongalia,Precinct 2,70
David B McKinley ,U.S. House,1,,Monongalia,Precinct 2,264
Sue Thorn,U.S. House,1,,Monongalia,Precinct 2,485
Bill Maloney,Governor,,,Monongalia,Precinct 2,284
Earl Ray Tomblin,Governor,,,Monongalia,Precinct 2,403
Jesse Johnson,Governor,,,Monongalia,Precinct 2,75
David Moran ,Governor,,,Monongalia,Precinct 2,20
Brian Savilla,Secretary of State,,,Monongalia,Precinct 2,165
Natalie E. Tennant,Secretary of State,,,Monongalia,Precinct 2,603
Larry V. Faircloth,Auditor,,,Monongalia,Precinct 2,210
Glen B. Gainer III,Auditor,,,Monongalia,Precinct 2,530
Mike Hall,Treasurer,,,Monongalia,Precinct 2,212
John D. Perdue,Treasurer,,,Monongalia,Precinct 2,526
Kent Leonhardt ,Commissioner of Agriculture,,,Monongalia,Precinct 2,296
Walt Helmick,Commissioner of Agriculture,,,Monongalia,Precinct 2,432
Patrick Morrisey,Attorney General,,,Monongalia,Precinct 2,285
"Darrell V. McGraw, Jr. ",Attorney General,,,Monongalia,Precinct 2,473
Jeffrey V. Kessler,State Senate,2,,Monongalia,Precinct 2,
Casey Mayer,State Senate,13,,Monongalia,Precinct 2,216
"Roman W. Prezioso, Jr. ",State Senate,13,,Monongalia,Precinct 2,520
Bob Williams,State Senate,14,,Monongalia,Precinct 2,
Dave Pethtel,House of Delegates,5,,Monongalia,Precinct 2,
Raymond V. Davis III,House of Delegates,5,,Monongalia,Precinct 2,
Denzil W. Sloan ,House of Delegates,5,,Monongalia,Precinct 2,
Jeff Tansill,House of Delegates,49,,Monongalia,Precinct 2,
Mike Manypenny,House of Delegates,49,,Monongalia,Precinct 2,
Amanda Pasdon,House of Delegates,51,,Monongalia,Precinct 2,285
Jay Redmond,House of Delegates,51,,Monongalia,Precinct 2,241
Cindy Frich ,House of Delegates,51,,Monongalia,Precinct 2,290
John P. Woods,House of Delegates,51,,Monongalia,Precinct 2,196
Kevin Scott Poe,House of Delegates,51,,Monongalia,Precinct 2,217
Billy Smerka Jr. ,House of Delegates,51,,Monongalia,Precinct 2,347
Nancy Jamison,House of Delegates,51,,Monongalia,Precinct 2,376
Charlene Marshall ,House of Delegates,51,,Monongalia,Precinct 2,489
Barbara Evans Fleischauer,House of Delegates,51,,Monongalia,Precinct 2,506
"Anthony P. ""Tony"" Barill ",House of Delegates,51,,Monongalia,Precinct 2,408
Harry V. Bertram,House of Delegates,51,,Monongalia,Precinct 2,32
,Registered Voters,,,Monongalia,Precinct 4,1301
,Ballots Cast,,,Monongalia,Precinct 4,867
,Straight Party,,REP,Monongalia,Precinct 4,44
,Straight Party,,DEM,Monongalia,Precinct 4,141
,Straight Party,,MTN,Monongalia,Precinct 4,1
,Straight Party,,LIBER,Monongalia,Precinct 4,0
Mitt Romney ,President ,,,Monongalia,Precinct 4,271
Barack Obama,President ,,,Monongalia,Precinct 4,549
Jill Stein,President ,,,Monongalia,Precinct 4,14
Gary Johnson,President ,,,Monongalia,Precinct 4,16
Randall Terry,President ,,,Monongalia,Precinct 4,1
John R. Raese,U.S. Senate,,,Monongalia,Precinct 4,213
Joe Manchin III,U.S. Senate,,,Monongalia,Precinct 4,523
Bob Henry Baber,U.S. Senate,,,Monongalia,Precinct 4,94
David B McKinley ,U.S. House,1,,Monongalia,Precinct 4,271
Sue Thorn,U.S. House,1,,Monongalia,Precinct 4,540
Bill Maloney,Governor,,,Monongalia,Precinct 4,256
Earl Ray Tomblin,Governor,,,Monongalia,Precinct 4,473
Jesse Johnson,Governor,,,Monongalia,Precinct 4,85
David Moran ,Governor,,,Monongalia,Precinct 4,20
Brian Savilla,Secretary of State,,,Monongalia,Precinct 4,155
Natalie E. Tennant,Secretary of State,,,Monongalia,Precinct 4,662
Larry V. Faircloth,Auditor,,,Monongalia,Precinct 4,202
Glen B. Gainer III,Auditor,,,Monongalia,Precinct 4,583
Mike Hall,Treasurer,,,Monongalia,Precinct 4,183
John D. Perdue,Treasurer,,,Monongalia,Precinct 4,608
Kent Leonhardt ,Commissioner of Agriculture,,,Monongalia,Precinct 4,285
Walt Helmick,Commissioner of Agriculture,,,Monongalia,Precinct 4,485
Patrick Morrisey,Attorney General,,,Monongalia,Precinct 4,267
"Darrell V. McGraw, Jr. ",Attorney General,,,Monongalia,Precinct 4,540
Jeffrey V. Kessler,State Senate,2,,Monongalia,Precinct 4,202
Casey Mayer,State Senate,13,,Monongalia,Precinct 4,588
"Roman W. Prezioso, Jr. ",State Senate,13,,Monongalia,Precinct 4,
