county,precinct,office,district,party,candidate,votes
Pocahontas,1,Straight Party,,,Republican,9
Pocahontas,2,Straight Party,,,Republican,16
Pocahontas,3,Straight Party,,,Republican,32
Pocahontas,4,Straight Party,,,Republican,9
Pocahontas,6,Straight Party,,,Republican,7
Pocahontas,10,Straight Party,,,Republican,22
Pocahontas,12,Straight Party,,,Republican,15
Pocahontas,13,Straight Party,,,Republican,12
Pocahontas,15,Straight Party,,,Republican,12
Pocahontas,18,Straight Party,,,Republican,11
Pocahontas,21,Straight Party,,,Republican,10
Pocahontas,23,Straight Party,,,Republican,21
Pocahontas,26,Straight Party,,,Republican,7
Pocahontas,27,Straight Party,,,Republican,12
Pocahontas,29,Straight Party,,,Republican,12
Pocahontas,1,Straight Party,,,Democratic,11
Pocahontas,2,Straight Party,,,Democratic,10
Pocahontas,3,Straight Party,,,Democratic,21
Pocahontas,4,Straight Party,,,Democratic,8
Pocahontas,6,Straight Party,,,Democratic,13
Pocahontas,10,Straight Party,,,Democratic,28
Pocahontas,12,Straight Party,,,Democratic,8
Pocahontas,13,Straight Party,,,Democratic,9
Pocahontas,15,Straight Party,,,Democratic,14
Pocahontas,18,Straight Party,,,Democratic,4
Pocahontas,21,Straight Party,,,Democratic,10
Pocahontas,23,Straight Party,,,Democratic,17
Pocahontas,26,Straight Party,,,Democratic,13
Pocahontas,27,Straight Party,,,Democratic,35
Pocahontas,29,Straight Party,,,Democratic,18
Pocahontas,1,Straight Party,,,Mountain,0
Pocahontas,2,Straight Party,,,Mountain,3
Pocahontas,3,Straight Party,,,Mountain,0
Pocahontas,4,Straight Party,,,Mountain,0
Pocahontas,6,Straight Party,,,Mountain,1
Pocahontas,10,Straight Party,,,Mountain,1
Pocahontas,12,Straight Party,,,Mountain,0
Pocahontas,13,Straight Party,,,Mountain,1
Pocahontas,15,Straight Party,,,Mountain,1
Pocahontas,18,Straight Party,,,Mountain,0
Pocahontas,21,Straight Party,,,Mountain,1
Pocahontas,23,Straight Party,,,Mountain,0
Pocahontas,26,Straight Party,,,Mountain,0
Pocahontas,27,Straight Party,,,Mountain,2
Pocahontas,29,Straight Party,,,Mountain,0
Pocahontas,1,Straight Party,,,Libertarian,0
Pocahontas,2,Straight Party,,,Libertarian,0
Pocahontas,3,Straight Party,,,Libertarian,2
Pocahontas,4,Straight Party,,,Libertarian,0
Pocahontas,6,Straight Party,,,Libertarian,2
Pocahontas,10,Straight Party,,,Libertarian,0
Pocahontas,12,Straight Party,,,Libertarian,0
Pocahontas,13,Straight Party,,,Libertarian,0
Pocahontas,15,Straight Party,,,Libertarian,1
Pocahontas,18,Straight Party,,,Libertarian,0
Pocahontas,21,Straight Party,,,Libertarian,0
Pocahontas,23,Straight Party,,,Libertarian,0
Pocahontas,26,Straight Party,,,Libertarian,0
Pocahontas,27,Straight Party,,,Libertarian,0
Pocahontas,29,Straight Party,,,Libertarian,2
Pocahontas,1,President,,REP,Mitt Romney,149
Pocahontas,2,President,,REP,Mitt Romney,152
Pocahontas,3,President,,REP,Mitt Romney,247
Pocahontas,4,President,,REP,Mitt Romney,35
Pocahontas,6,President,,REP,Mitt Romney,86
Pocahontas,10,President,,REP,Mitt Romney,220
Pocahontas,12,President,,REP,Mitt Romney,221
Pocahontas,13,President,,REP,Mitt Romney,152
Pocahontas,15,President,,REP,Mitt Romney,107
Pocahontas,18,President,,REP,Mitt Romney,111
Pocahontas,21,President,,REP,Mitt Romney,111
Pocahontas,23,President,,REP,Mitt Romney,244
Pocahontas,26,President,,REP,Mitt Romney,92
Pocahontas,27,President,,REP,Mitt Romney,173
Pocahontas,29,President,,REP,Mitt Romney,82
Pocahontas,1,President,,DEM,Barack Obama,50
Pocahontas,2,President,,DEM,Barack Obama,45
Pocahontas,3,President,,DEM,Barack Obama,140
Pocahontas,4,President,,DEM,Barack Obama,40
Pocahontas,6,President,,DEM,Barack Obama,66
Pocahontas,10,President,,DEM,Barack Obama,163
Pocahontas,12,President,,DEM,Barack Obama,89
Pocahontas,13,President,,DEM,Barack Obama,93
Pocahontas,15,President,,DEM,Barack Obama,93
Pocahontas,18,President,,DEM,Barack Obama,56
Pocahontas,21,President,,DEM,Barack Obama,45
Pocahontas,23,President,,DEM,Barack Obama,125
Pocahontas,26,President,,DEM,Barack Obama,68
Pocahontas,27,President,,DEM,Barack Obama,145
Pocahontas,29,President,,DEM,Barack Obama,85
Pocahontas,1,President,,MTN,Jill Stein,1
Pocahontas,2,President,,MTN,Jill Stein,3
Pocahontas,3,President,,MTN,Jill Stein,7
Pocahontas,4,President,,MTN,Jill Stein,1
Pocahontas,6,President,,MTN,Jill Stein,3
Pocahontas,10,President,,MTN,Jill Stein,3
Pocahontas,12,President,,MTN,Jill Stein,0
Pocahontas,13,President,,MTN,Jill Stein,4
Pocahontas,15,President,,MTN,Jill Stein,1
Pocahontas,18,President,,MTN,Jill Stein,0
Pocahontas,21,President,,MTN,Jill Stein,4
Pocahontas,23,President,,MTN,Jill Stein,0
Pocahontas,26,President,,MTN,Jill Stein,0
Pocahontas,27,President,,MTN,Jill Stein,5
Pocahontas,29,President,,MTN,Jill Stein,1
Pocahontas,1,President,,LIB,Gary Johnson,2
Pocahontas,2,President,,LIB,Gary Johnson,0
Pocahontas,3,President,,LIB,Gary Johnson,3
Pocahontas,4,President,,LIB,Gary Johnson,1
Pocahontas,6,President,,LIB,Gary Johnson,5
Pocahontas,10,President,,LIB,Gary Johnson,0
Pocahontas,12,President,,LIB,Gary Johnson,1
Pocahontas,13,President,,LIB,Gary Johnson,3
Pocahontas,15,President,,LIB,Gary Johnson,5
Pocahontas,18,President,,LIB,Gary Johnson,3
Pocahontas,21,President,,LIB,Gary Johnson,1
Pocahontas,23,President,,LIB,Gary Johnson,2
Pocahontas,26,President,,LIB,Gary Johnson,2
Pocahontas,27,President,,LIB,Gary Johnson,4
Pocahontas,29,President,,LIB,Gary Johnson,1
Pocahontas,1,President,,,Randall Terry,4
Pocahontas,2,President,,,Randall Terry,2
Pocahontas,3,President,,,Randall Terry,0
Pocahontas,4,President,,,Randall Terry,1
Pocahontas,6,President,,,Randall Terry,1
Pocahontas,10,President,,,Randall Terry,1
Pocahontas,12,President,,,Randall Terry,2
Pocahontas,13,President,,,Randall Terry,3
Pocahontas,15,President,,,Randall Terry,2
Pocahontas,18,President,,,Randall Terry,1
Pocahontas,21,President,,,Randall Terry,2
Pocahontas,23,President,,,Randall Terry,2
Pocahontas,26,President,,,Randall Terry,1
Pocahontas,27,President,,,Randall Terry,2
Pocahontas,29,President,,,Randall Terry,1
Pocahontas,1,U.S. Senate,,REP,John R. Raese,64
Pocahontas,2,U.S. Senate,,REP,John R. Raese,87
Pocahontas,3,U.S. Senate,,REP,John R. Raese,117
Pocahontas,4,U.S. Senate,,REP,John R. Raese,23
Pocahontas,6,U.S. Senate,,REP,John R. Raese,45
Pocahontas,10,U.S. Senate,,REP,John R. Raese,103
Pocahontas,12,U.S. Senate,,REP,John R. Raese,121
Pocahontas,13,U.S. Senate,,REP,John R. Raese,70
Pocahontas,15,U.S. Senate,,REP,John R. Raese,62
Pocahontas,18,U.S. Senate,,REP,John R. Raese,54
Pocahontas,21,U.S. Senate,,REP,John R. Raese,65
Pocahontas,23,U.S. Senate,,REP,John R. Raese,144
Pocahontas,26,U.S. Senate,,REP,John R. Raese,52
Pocahontas,27,U.S. Senate,,REP,John R. Raese,75
Pocahontas,29,U.S. Senate,,REP,John R. Raese,59
Pocahontas,1,U.S. Senate,,DEM,Joe Manchin III,124
Pocahontas,2,U.S. Senate,,DEM,Joe Manchin III,108
Pocahontas,3,U.S. Senate,,DEM,Joe Manchin III,242
Pocahontas,4,U.S. Senate,,DEM,Joe Manchin III,45
Pocahontas,6,U.S. Senate,,DEM,Joe Manchin III,105
Pocahontas,10,U.S. Senate,,DEM,Joe Manchin III,244
Pocahontas,12,U.S. Senate,,DEM,Joe Manchin III,164
Pocahontas,13,U.S. Senate,,DEM,Joe Manchin III,161
Pocahontas,15,U.S. Senate,,DEM,Joe Manchin III,125
Pocahontas,18,U.S. Senate,,DEM,Joe Manchin III,105
Pocahontas,21,U.S. Senate,,DEM,Joe Manchin III,80
Pocahontas,23,U.S. Senate,,DEM,Joe Manchin III,196
Pocahontas,26,U.S. Senate,,DEM,Joe Manchin III,91
Pocahontas,27,U.S. Senate,,DEM,Joe Manchin III,212
Pocahontas,29,U.S. Senate,,DEM,Joe Manchin III,90
Pocahontas,1,U.S. Senate,,,Bob Henry Baber,11
Pocahontas,2,U.S. Senate,,,Bob Henry Baber,4
Pocahontas,3,U.S. Senate,,,Bob Henry Baber,31
Pocahontas,4,U.S. Senate,,,Bob Henry Baber,8
Pocahontas,6,U.S. Senate,,,Bob Henry Baber,3
Pocahontas,10,U.S. Senate,,,Bob Henry Baber,21
Pocahontas,12,U.S. Senate,,,Bob Henry Baber,14
Pocahontas,13,U.S. Senate,,,Bob Henry Baber,19
Pocahontas,15,U.S. Senate,,,Bob Henry Baber,13
Pocahontas,18,U.S. Senate,,,Bob Henry Baber,8
Pocahontas,21,U.S. Senate,,,Bob Henry Baber,13
Pocahontas,23,U.S. Senate,,,Bob Henry Baber,18
Pocahontas,26,U.S. Senate,,,Bob Henry Baber,16
Pocahontas,27,U.S. Senate,,,Bob Henry Baber,38
Pocahontas,29,U.S. Senate,,,Bob Henry Baber,24
Pocahontas,1,U.S. House,3,REP,Rick Snuffer,62
Pocahontas,2,U.S. House,3,REP,Rick Snuffer,95
Pocahontas,3,U.S. House,3,REP,Rick Snuffer,135
Pocahontas,4,U.S. House,3,REP,Rick Snuffer,22
Pocahontas,6,U.S. House,3,REP,Rick Snuffer,43
