county,precinct,office,district,party,candidate,votes
Clay,PRECINCT 1,U.S. SENATOR,,,PATRICK  MORRISEY,60
Clay,PRECINCT 4,U.S. SENATOR,,,PATRICK  MORRISEY,40
Clay,PRECINCT 12,U.S. SENATOR,,,PATRICK  MORRISEY,28
Clay,PRECINCT 15,U.S. SENATOR,,,PATRICK  MORRISEY,154
Clay,PRECINCT 17,U.S. SENATOR,,,PATRICK  MORRISEY,152
Clay,PRECINCT 24,U.S. SENATOR,,,PATRICK  MORRISEY,105
Clay,PRECINCT 25,U.S. SENATOR,,,PATRICK  MORRISEY,107
Clay,PRECINCT 29,U.S. SENATOR,,,PATRICK  MORRISEY,228
Clay,PRECINCT 33,U.S. SENATOR,,,PATRICK  MORRISEY,127
Clay,PRECINCT 36,U.S. SENATOR,,,PATRICK  MORRISEY,104
Clay,PRECINCT 37,U.S. SENATOR,,,PATRICK  MORRISEY,92
Clay,PRECINCT 1,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",59
Clay,PRECINCT 4,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",15
Clay,PRECINCT 12,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",52
Clay,PRECINCT 15,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",142
Clay,PRECINCT 17,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",181
Clay,PRECINCT 24,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",93
Clay,PRECINCT 25,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",128
Clay,PRECINCT 29,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",160
Clay,PRECINCT 33,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",110
Clay,PRECINCT 36,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",125
Clay,PRECINCT 37,U.S. SENATOR,,,"JOSEPH  MANCHIN, III",76
Clay,PRECINCT 1,U.S. SENATOR,,,RUSTY HOLLEN,4
Clay,PRECINCT 4,U.S. SENATOR,,,RUSTY HOLLEN,2
Clay,PRECINCT 12,U.S. SENATOR,,,RUSTY HOLLEN,5
Clay,PRECINCT 15,U.S. SENATOR,,,RUSTY HOLLEN,14
Clay,PRECINCT 17,U.S. SENATOR,,,RUSTY HOLLEN,14
Clay,PRECINCT 24,U.S. SENATOR,,,RUSTY HOLLEN,6
Clay,PRECINCT 25,U.S. SENATOR,,,RUSTY HOLLEN,13
Clay,PRECINCT 29,U.S. SENATOR,,,RUSTY HOLLEN,17
Clay,PRECINCT 33,U.S. SENATOR,,,RUSTY HOLLEN,9
Clay,PRECINCT 36,U.S. SENATOR,,,RUSTY HOLLEN,2
Clay,PRECINCT 37,U.S. SENATOR,,,RUSTY HOLLEN,8
Clay,PRECINCT 1,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,73
Clay,PRECINCT 4,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,41
Clay,PRECINCT 12,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,30
Clay,PRECINCT 15,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,176
Clay,PRECINCT 17,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,191
Clay,PRECINCT 24,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,115
Clay,PRECINCT 25,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,119
Clay,PRECINCT 29,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,238
Clay,PRECINCT 33,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,158
Clay,PRECINCT 36,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,124
Clay,PRECINCT 37,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,ALEX X. MOONEY,106
Clay,PRECINCT 1,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,46
Clay,PRECINCT 4,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,13
Clay,PRECINCT 12,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,55
Clay,PRECINCT 15,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,119
Clay,PRECINCT 17,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,143
Clay,PRECINCT 24,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,78
Clay,PRECINCT 25,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,114
Clay,PRECINCT 29,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,139
Clay,PRECINCT 33,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,83
Clay,PRECINCT 36,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,96
Clay,PRECINCT 37,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,TALLEY SERGENT,66
Clay,PRECINCT 1,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",1
Clay,PRECINCT 4,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",2
Clay,PRECINCT 12,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",2
Clay,PRECINCT 15,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",10
Clay,PRECINCT 17,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",12
Clay,PRECINCT 24,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",7
Clay,PRECINCT 25,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",4
Clay,PRECINCT 29,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",18
Clay,PRECINCT 33,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",6
Clay,PRECINCT 36,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",7
Clay,PRECINCT 37,U.S. HOUSE OF REPRESENTATIVES, 2nd Congressional District,,"DANIEL P. ""DANNY"" LUTZ JR.",4
Clay,PRECINCT 1,STATE SENATOR, 12th District,,WAYMOND CORK II,59
Clay,PRECINCT 4,STATE SENATOR, 12th District,,WAYMOND CORK II,38
Clay,PRECINCT 12,STATE SENATOR, 12th District,,WAYMOND CORK II,25
Clay,PRECINCT 15,STATE SENATOR, 12th District,,WAYMOND CORK II,145
Clay,PRECINCT 17,STATE SENATOR, 12th District,,WAYMOND CORK II,152
Clay,PRECINCT 24,STATE SENATOR, 12th District,,WAYMOND CORK II,104
Clay,PRECINCT 25,STATE SENATOR, 12th District,,WAYMOND CORK II,95
Clay,PRECINCT 29,STATE SENATOR, 12th District,,WAYMOND CORK II,220
Clay,PRECINCT 33,STATE SENATOR, 12th District,,WAYMOND CORK II,124
Clay,PRECINCT 36,STATE SENATOR, 12th District,,WAYMOND CORK II,101
Clay,PRECINCT 37,STATE SENATOR, 12th District,,WAYMOND CORK II,97
Clay,PRECINCT 1,STATE SENATOR, 12th District,,MIKE ROMANO,58
Clay,PRECINCT 4,STATE SENATOR, 12th District,,MIKE ROMANO,16
Clay,PRECINCT 12,STATE SENATOR, 12th District,,MIKE ROMANO,57
Clay,PRECINCT 15,STATE SENATOR, 12th District,,MIKE ROMANO,149
Clay,PRECINCT 17,STATE SENATOR, 12th District,,MIKE ROMANO,167
Clay,PRECINCT 24,STATE SENATOR, 12th District,,MIKE ROMANO,86
Clay,PRECINCT 25,STATE SENATOR, 12th District,,MIKE ROMANO,127
Clay,PRECINCT 29,STATE SENATOR, 12th District,,MIKE ROMANO,148
Clay,PRECINCT 33,STATE SENATOR, 12th District,,MIKE ROMANO,105
Clay,PRECINCT 36,STATE SENATOR, 12th District,,MIKE ROMANO,111
Clay,PRECINCT 37,STATE SENATOR, 12th District,,MIKE ROMANO,72
Clay,PRECINCT 1,HOUSE OF DELEGATES, 33rd District,,ROGER HANSHAW,69
Clay,PRECINCT 4,HOUSE OF DELEGATES, 33rd District,,ROGER HANSHAW,30
Clay,PRECINCT 12,HOUSE OF DELEGATES, 33rd District,,ROGER HANSHAW,38
Clay,PRECINCT 15,HOUSE OF DELEGATES, 33rd District,,ROGER HANSHAW,183
Clay,PRECINCT 17,HOUSE OF DELEGATES, 33rd District,,ROGER HANSHAW,190
Clay,PRECINCT 24,HOUSE OF DELEGATES, 33rd District,,ROGER HANSHAW,119
Clay,PRECINCT 25,HOUSE OF DELEGATES, 33rd District,,ROGER HANSHAW,114
Clay,PRECINCT 33,HOUSE OF DELEGATES, 33rd District,,ROGER HANSHAW,170
Clay,PRECINCT 36,HOUSE OF DELEGATES, 33rd District,,ROGER HANSHAW,132
Clay,PRECINCT 37,HOUSE OF DELEGATES, 33rd District,,ROGER HANSHAW,90
Clay,PRECINCT 1,HOUSE OF DELEGATES, 33rd District,,DAVID A WALKER,54
Clay,PRECINCT 4,HOUSE OF DELEGATES, 33rd District,,DAVID A WALKER,25
Clay,PRECINCT 12,HOUSE OF DELEGATES, 33rd District,,DAVID A WALKER,47
Clay,PRECINCT 15,HOUSE OF DELEGATES, 33rd District,,DAVID A WALKER,128
Clay,PRECINCT 17,HOUSE OF DELEGATES, 33rd District,,DAVID A WALKER,158
Clay,PRECINCT 24,HOUSE OF DELEGATES, 33rd District,,DAVID A WALKER,81
Clay,PRECINCT 25,HOUSE OF DELEGATES, 33rd District,,DAVID A WALKER,131
Clay,PRECINCT 33,HOUSE OF DELEGATES, 33rd District,,DAVID A WALKER,78
Clay,PRECINCT 36,HOUSE OF DELEGATES, 33rd District,,DAVID A WALKER,98
Clay,PRECINCT 37,HOUSE OF DELEGATES, 33rd District,,DAVID A WALKER,87
Clay,PRECINCT 29,HOUSE OF DELEGATES, 32nd District,,KAYLA KESSINGER,204
Clay,PRECINCT 29,HOUSE OF DELEGATES, 32nd District,,TOM FAST,177
Clay,PRECINCT 29,HOUSE OF DELEGATES, 32nd District,,AUSTIN HAYNES,152
Clay,PRECINCT 29,HOUSE OF DELEGATES, 32nd District,,MARGARET ANNE STAGGERS,159
Clay,PRECINCT 29,HOUSE OF DELEGATES, 32nd District,,"MELVIN ""MEL"" KESSLER",58
Clay,PRECINCT 29,HOUSE OF DELEGATES, 32nd District,,LUKE LIVELY,74
