county,precinct,office,district,party,candidate,votes
Wyoming,PRECINCT 101,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,120
Wyoming,PRECINCT 102,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,55
Wyoming,PRECINCT 103,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,146
Wyoming,PRECINCT 104,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,45
Wyoming,PRECINCT 105,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,48
Wyoming,PRECINCT 106,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,144
Wyoming,PRECINCT 107,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,129
Wyoming,PRECINCT 108,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,141
Wyoming,PRECINCT 109,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,108
Wyoming,PRECINCT 110,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,39
Wyoming,PRECINCT 111,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,164
Wyoming,PRECINCT 201,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,51
Wyoming,PRECINCT 202,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,181
Wyoming,PRECINCT 203,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,235
Wyoming,PRECINCT 204,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,84
Wyoming,PRECINCT 205,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,182
Wyoming,PRECINCT 206,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,167
Wyoming,PRECINCT 207,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,60
Wyoming,PRECINCT 302,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,165
Wyoming,PRECINCT 303,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,116
Wyoming,PRECINCT 304,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,134
Wyoming,PRECINCT 305,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,164
Wyoming,PRECINCT 307,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,163
Wyoming,PRECINCT 308,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,121
Wyoming,PRECINCT 309,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,21
Wyoming,PRECINCT 310,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,REP,CAROL MILLER,50
Wyoming,PRECINCT 101,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,22
Wyoming,PRECINCT 102,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,10
Wyoming,PRECINCT 103,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,32
Wyoming,PRECINCT 104,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,18
Wyoming,PRECINCT 105,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,12
Wyoming,PRECINCT 106,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,75
Wyoming,PRECINCT 107,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,46
Wyoming,PRECINCT 108,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,33
Wyoming,PRECINCT 109,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,31
Wyoming,PRECINCT 110,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,8
Wyoming,PRECINCT 111,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,31
Wyoming,PRECINCT 201,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,7
Wyoming,PRECINCT 202,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,51
Wyoming,PRECINCT 203,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,41
Wyoming,PRECINCT 204,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,23
Wyoming,PRECINCT 205,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,99
Wyoming,PRECINCT 206,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,60
Wyoming,PRECINCT 207,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,16
Wyoming,PRECINCT 302,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,39
Wyoming,PRECINCT 303,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,32
Wyoming,PRECINCT 304,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,24
Wyoming,PRECINCT 305,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,15
Wyoming,PRECINCT 307,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,36
Wyoming,PRECINCT 308,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,33
Wyoming,PRECINCT 309,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,4
Wyoming,PRECINCT 310,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,DEM,MR. LACY WATSON,6
Wyoming,PRECINCT 101,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,IND,BELINDA  FOX-SPENCER,11
Wyoming,PRECINCT 102,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,IND,BELINDA  FOX-SPENCER,6
Wyoming,PRECINCT 103,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,IND,BELINDA  FOX-SPENCER,15
Wyoming,PRECINCT 104,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,IND,BELINDA  FOX-SPENCER,8
Wyoming,PRECINCT 105,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,IND,BELINDA  FOX-SPENCER,7
Wyoming,PRECINCT 106,U.S. HOUSE OF REPRESENTATIVES, 1st Congressional District,IND,BELINDA  FOX-SPENCER,19
