county,precinct,office,district,party,candidate,votes
Lincoln,PRECINCT 1,President,,REP,DONALD J. TRUMP,662
Lincoln,PRECINCT 2,President,,REP,DONALD J. TRUMP,276
Lincoln,PRECINCT 3,President,,REP,DONALD J. TRUMP,369
Lincoln,PRECINCT 4,President,,REP,DONALD J. TRUMP,464
Lincoln,PRECINCT 5,President,,REP,DONALD J. TRUMP,275
Lincoln,PRECINCT 6,President,,REP,DONALD J. TRUMP,188
Lincoln,PRECINCT 7,President,,REP,DONALD J. TRUMP,100
Lincoln,PRECINCT 8,President,,REP,DONALD J. TRUMP,510
Lincoln,PRECINCT 9,President,,REP,DONALD J. TRUMP,456
Lincoln,PRECINCT 10,President,,REP,DONALD J. TRUMP,639
Lincoln,PRECINCT 11,President,,REP,DONALD J. TRUMP,193
Lincoln,PRECINCT 12,President,,REP,DONALD J. TRUMP,121
Lincoln,PRECINCT 13,President,,REP,DONALD J. TRUMP,573
Lincoln,PRECINCT 14,President,,REP,DONALD J. TRUMP,944
Lincoln,PRECINCT 1,President,,DEM,KAMALA D. HARRIS,213
Lincoln,PRECINCT 2,President,,DEM,KAMALA D. HARRIS,63
Lincoln,PRECINCT 3,President,,DEM,KAMALA D. HARRIS,92
Lincoln,PRECINCT 4,President,,DEM,KAMALA D. HARRIS,92
Lincoln,PRECINCT 5,President,,DEM,KAMALA D. HARRIS,43
Lincoln,PRECINCT 6,President,,DEM,KAMALA D. HARRIS,45
Lincoln,PRECINCT 7,President,,DEM,KAMALA D. HARRIS,24
Lincoln,PRECINCT 8,President,,DEM,KAMALA D. HARRIS,77
Lincoln,PRECINCT 9,President,,DEM,KAMALA D. HARRIS,76
Lincoln,PRECINCT 10,President,,DEM,KAMALA D. HARRIS,116
Lincoln,PRECINCT 11,President,,DEM,KAMALA D. HARRIS,16
Lincoln,PRECINCT 12,President,,DEM,KAMALA D. HARRIS,26
Lincoln,PRECINCT 13,President,,DEM,KAMALA D. HARRIS,113
Lincoln,PRECINCT 14,President,,DEM,KAMALA D. HARRIS,283
Lincoln,PRECINCT 1,President,,LBN,CHASE OLIVER,4
Lincoln,PRECINCT 2,President,,LBN,CHASE OLIVER,1
Lincoln,PRECINCT 3,President,,LBN,CHASE OLIVER,5
Lincoln,PRECINCT 4,President,,LBN,CHASE OLIVER,4
Lincoln,PRECINCT 5,President,,LBN,CHASE OLIVER,0
Lincoln,PRECINCT 6,President,,LBN,CHASE OLIVER,0
Lincoln,PRECINCT 7,President,,LBN,CHASE OLIVER,0
